game_id,player_name,player_char,move
hiBot1671163155.865963,hi,O,"(1, 1)"
hiBot1671163155.865963,Bot,X,"(2, 0)"
hiBot1671163155.865963,hi,O,"(0, 0)"
hiBot1671163155.865963,Bot,X,"(2, 1)"
hiBot1671163155.865963,hi,O,"(2, 2)"
jeffBot1671172381.997208,jeff,O,"(2, 2)"
jeffBot1671172381.997208,Bot,X,"(1, 1)"
jeffBot1671172381.997208,jeff,O,"(1, 0)"
jeffBot1671172381.997208,Bot,X,"(2, 1)"
jeffBot1671172381.997208,jeff,O,"(0, 1)"
jeffBot1671172381.997208,Bot,X,"(1, 2)"
jeffBot1671172381.997208,jeff,O,"(0, 0)"
jeffBot1671172381.997208,Bot,X,"(2, 0)"
jeffBot1671172381.997208,jeff,O,"(0, 2)"
emilyBot1671172466.206256,emily,O,"(1, 1)"
emilyBot1671172466.206256,Bot,X,"(2, 0)"
emilyBot1671172466.206256,emily,O,"(0, 0)"
emilyBot1671172466.206256,Bot,X,"(0, 1)"
emilyBot1671172466.206256,emily,O,"(2, 2)"
emilyBot1671173666.701186,emily,O,"(1, 1)"
emilyBot1671173666.701186,Bot,X,"(1, 2)"
emilyBot1671173666.701186,emily,O,"(2, 2)"
emilyBot1671173666.701186,Bot,X,"(0, 2)"
emilyBot1671173666.701186,emily,O,"(0, 0)"
emilyBot1671174861.679238,emily,O,"(1, 1)"
emilyBot1671174861.679238,Bot,X,"(2, 2)"
emilyBot1671174861.679238,emily,O,"(0, 0)"
emilyBot1671174861.679238,Bot,X,"(0, 2)"
emilyBot1671174861.679238,emily,O,"(1, 2)"
emilyBot1671174861.679238,Bot,X,"(2, 0)"
emilyBot1671174861.679238,emily,O,"(1, 0)"
EmilyBot1671213278.394969,Emily,O,"(0, 0)"
EmilyBot1671213278.394969,Bot,X,"(1, 1)"
EmilyBot1671213278.394969,Emily,O,"(2, 2)"
EmilyBot1671213278.394969,Bot,X,"(1, 0)"
EmilyBot1671213278.394969,Emily,O,"(1, 2)"
EmilyBot1671213278.394969,Bot,X,"(0, 2)"
EmilyBot1671213278.394969,Emily,O,"(0, 1)"
EmilyBot1671213278.394969,Bot,X,"(2, 1)"
EmilyBot1671213278.394969,Emily,O,"(2, 0)"
EmilyMagi1671213375.237372,Emily,O,"(0, 0)"
EmilyMagi1671213375.237372,Magi,X,"(1, 1)"
EmilyMagi1671213375.237372,Emily,O,"(2, 0)"
EmilyMagi1671213375.237372,Magi,X,"(1, 0)"
EmilyMagi1671213375.237372,Emily,O,"(0, 1)"
EmilyMagi1671213375.237372,Magi,X,"(1, 2)"
